name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Baclofen,Baclon,0.8517,0.7500,0.9533,
Flexibac,Flexilax,0.8298,0.7500,0.9095,
Azithrocin,Zithrin,0.7944,0.7000,0.8889,
Ketoral,Ketozol,0.7905,0.7143,0.8667,
Montene,Montex,0.7813,0.7143,0.8483,
Ace,Aceta,0.7556,0.6000,0.9111,
Atrizin,Etizin,0.7488,0.7143,0.7833,
Backtone,Baclon,0.7458,0.6250,0.8667,
Montair,Montene,0.7274,0.5714,0.8833,
Odmon,Opton,0.7250,0.6000,0.8500,
Baclon,Beklo,0.7208,0.5000,0.9417,
Canazole,Conaz,0.7208,0.5000,0.9417,
Exium,Nexum,0.7167,0.6000,0.8333,
Montair,Montex,0.7099,0.5714,0.8483,
Fexo,Fexofast,0.6917,0.5000,0.8833,
Esoral,Ketoral,0.6905,0.7143,0.6667,
Ketocon,Ketozol,0.6905,0.7143,0.6667,
Ketoral,Ketotab,0.6905,0.7143,0.6667,
Conaz,Monas,0.6889,0.6000,0.7778,
Dancel,Denixil,0.6876,0.4286,0.9467,
Fixal,Flugal,0.6750,0.5000,0.8500,
Monas,Montair,0.6746,0.5714,0.7778,
Maxima,Maxpro,0.6742,0.5000,0.8483,
Nexcap,Nexum,0.6742,0.5000,0.8483,
Fexo,Fixal,0.6708,0.4000,0.9417,
Amodis,Axodin,0.6694,0.6667,0.6722,
Filmet,Flamyd,0.6667,0.3333,1.0000,
Backtone,Baclofen,0.6633,0.5000,0.8267,
Baclofen,Bicozin,0.6633,0.5000,0.8267,
Fexofast,Telfast,0.6625,0.6250,0.7000,
Bacaid,Backtone,0.6583,0.3750,0.9417,
Odmon,Tamen,0.6583,0.4000,0.9167,
Baclon,Bicozin,0.6476,0.4286,0.8667,
Azithrocin,Azyth,0.6417,0.4000,0.8833,
Baclofen,Beklo,0.6408,0.3750,0.9067,
Azyth,Rozith,0.6389,0.5000,0.7778,
Bacaid,Baclon,0.6389,0.5000,0.7778,
Flexilax,Flugal,0.6375,0.3750,0.9000,
Atrizin,Azithrocin,0.6325,0.5000,0.7650,
Etizin,Metsina,0.6310,0.4286,0.8333,
M-Kast,Monas,0.6250,0.5000,0.7500,
Backtone,Bicozin,0.6208,0.3750,0.8667,
Ketocon,Ketoral,0.6190,0.5714,0.6667,
Ketocon,Ketotab,0.6190,0.5714,0.6667,
Ketotab,Ketozol,0.6190,0.5714,0.6667,
Omastin,Opton,0.6168,0.4286,0.8050,
Rivotril,Tridosil,0.6167,0.5000,0.7333,
Canazole,Ketozol,0.6125,0.3750,0.8500,
Fexo,Flexibac,0.6125,0.3750,0.8500,
Aceta,Azyth,0.6111,0.4000,0.8222,
Amodis,Monas,0.6111,0.5000,0.7222,
Lumona,Odmon,0.6111,0.5000,0.7222,
Axodin,Bicozin,0.6060,0.4286,0.7833,
Denixil,Fixal,0.6060,0.4286,0.7833,
Omastin,Romycin,0.6060,0.4286,0.7833,
Metro,Montair,0.6054,0.2857,0.9250,
Canazole,Dancel,0.6042,0.3750,0.8333,
Canazole,Nidazyl,0.6042,0.3750,0.8333,
Bacaid,Bicozin,0.6032,0.4286,0.7778,
Metro,Metsina,0.6032,0.4286,0.7778,
Monas,Montene,0.6032,0.4286,0.7778,
Fexo,Flexilax,0.6018,0.3750,0.8286,
Dancel,Nidazyl,0.6012,0.2857,0.9167,
Canazole,Candinil,0.6008,0.3750,0.8267,
Fexofast,Fixal,0.6000,0.3750,0.8250,
Fixal,Flexibac,0.6000,0.3750,0.8250,
Flexibac,Flugal,0.6000,0.3750,0.8250,
Bacaid,Bacmax,0.5944,0.5000,0.6889,
Monas,Montex,0.5944,0.5000,0.6889,
Atrizin,Axodin,0.5943,0.4286,0.7600,
Denixil,Dinafex,0.5895,0.2857,0.8933,
Lucan-R,Lumona,0.5893,0.4286,0.7500,
Fixal,Flexilax,0.5857,0.3750,0.7964,
Esoral,Sergel,0.5833,0.3333,0.8333,
Exium,Maxima,0.5833,0.3333,0.8333,
Maxima,Nexum,0.5833,0.3333,0.8333,
Dinafex,Montex,0.5810,0.4286,0.7333,
Candinil,Fenadin,0.5792,0.3750,0.7833,
Ketoral,Rivotril,0.5792,0.3750,0.7833,
Nidazyl,Tridosil,0.5792,0.3750,0.7833,
Napa,Napa Extend,0.5781,0.3636,0.7926,
Backtone,Beklo,0.5764,0.3750,0.7778,
Ketoral,Metro,0.5754,0.4286,0.7222,
Fixal,Vifas,0.5750,0.4000,0.7500,
Fexofast,Flexilax,0.5732,0.3750,0.7714,
