name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
Baclofen,Baclon,0.8517,0.7500,0.9533,co
Flexibac,Flexilax,0.8298,0.7500,0.9095,co
Azithrocin,Zithrin,0.7944,0.7000,0.8889,co
Ketoral,Ketozol,0.7905,0.7143,0.8667,co
Montene,Montex,0.7813,0.7143,0.8483,co
Ace,Aceta,0.7556,0.6000,0.9111,bien_the_cung_nhan_hieu
Atrizin,Etizin,0.7488,0.7143,0.7833,co
Backtone,Baclon,0.7458,0.6250,0.8667,co
Montair,Montene,0.7274,0.5714,0.8833,co
Odmon,Opton,0.7250,0.6000,0.8500,co
Baclon,Beklo,0.7208,0.5000,0.9417,co
Canazole,Conaz,0.7208,0.5000,0.9417,co
Exium,Nexum,0.7167,0.6000,0.8333,co
Montair,Montex,0.7099,0.5714,0.8483,co
Fexo,Fexofast,0.6917,0.5000,0.8833,co
Esoral,Ketoral,0.6905,0.7143,0.6667,khong
Ketocon,Ketozol,0.6905,0.7143,0.6667,co
Ketoral,Ketotab,0.6905,0.7143,0.6667,co
Conaz,Monas,0.6889,0.6000,0.7778,khong
Dancel,Denixil,0.6876,0.4286,0.9467,khong
Fixal,Flugal,0.6750,0.5000,0.8500,khong
Monas,Montair,0.6746,0.5714,0.7778,co
Maxima,Maxpro,0.6742,0.5000,0.8483,co
Nexcap,Nexum,0.6742,0.5000,0.8483,co
Fexo,Fixal,0.6708,0.4000,0.9417,khong
Amodis,Axodin,0.6694,0.6667,0.6722,co
Filmet,Flamyd,0.6667,0.3333,1.0000,khong
Backtone,Baclofen,0.6633,0.5000,0.8267,khong
Baclofen,Bicozin,0.6633,0.5000,0.8267,khong
Fexofast,Telfast,0.6625,0.6250,0.7000,co
Bacaid,Backtone,0.6583,0.3750,0.9417,co
Odmon,Tamen,0.6583,0.4000,0.9167,khong
Baclon,Bicozin,0.6476,0.4286,0.8667,khong
Azithrocin,Azyth,0.6417,0.4000,0.8833,co
Baclofen,Beklo,0.6408,0.3750,0.9067,co
Azyth,Rozith,0.6389,0.5000,0.7778,co
Bacaid,Baclon,0.6389,0.5000,0.7778,co
Flexilax,Flugal,0.6375,0.3750,0.9000,khong
Atrizin,Azithrocin,0.6325,0.5000,0.7650,khong
Etizin,Metsina,0.6310,0.4286,0.8333,khong
M-Kast,Monas,0.6250,0.5000,0.7500,khong
Backtone,Bicozin,0.6208,0.3750,0.8667,khong
Ketocon,Ketoral,0.6190,0.5714,0.6667,co
Ketocon,Ketotab,0.6190,0.5714,0.6667,co
Ketotab,Ketozol,0.6190,0.5714,0.6667,co
Omastin,Opton,0.6168,0.4286,0.8050,khong
Rivotril,Tridosil,0.6167,0.5000,0.7333,khong
Canazole,Ketozol,0.6125,0.3750,0.8500,co
Fexo,Flexibac,0.6125,0.3750,0.8500,khong
Aceta,Azyth,0.6111,0.4000,0.8222,khong
Amodis,Monas,0.6111,0.5000,0.7222,khong
Lumona,Odmon,0.6111,0.5000,0.7222,khong
Axodin,Bicozin,0.6060,0.4286,0.7833,khong
Denixil,Fixal,0.6060,0.4286,0.7833,khong
Omastin,Romycin,0.6060,0.4286,0.7833,khong
Metro,Montair,0.6054,0.2857,0.9250,khong
Canazole,Dancel,0.6042,0.3750,0.8333,khong
Canazole,Nidazyl,0.6042,0.3750,0.8333,co
Bacaid,Bicozin,0.6032,0.4286,0.7778,khong
Metro,Metsina,0.6032,0.4286,0.7778,khong
Monas,Montene,0.6032,0.4286,0.7778,co
Fexo,Flexilax,0.6018,0.3750,0.8286,khong
Dancel,Nidazyl,0.6012,0.2857,0.9167,khong
Canazole,Candinil,0.6008,0.3750,0.8267,co
Fexofast,Fixal,0.6000,0.3750,0.8250,khong
Fixal,Flexibac,0.6000,0.3750,0.8250,khong
Flexibac,Flugal,0.6000,0.3750,0.8250,khong
Bacaid,Bacmax,0.5944,0.5000,0.6889,co
Monas,Montex,0.5944,0.5000,0.6889,co
Atrizin,Axodin,0.5943,0.4286,0.7600,khong
Denixil,Dinafex,0.5895,0.2857,0.8933,khong
Lucan-R,Lumona,0.5893,0.4286,0.7500,khong
Fixal,Flexilax,0.5857,0.3750,0.7964,khong
Esoral,Sergel,0.5833,0.3333,0.8333,khong
Exium,Maxima,0.5833,0.3333,0.8333,khong
Maxima,Nexum,0.5833,0.3333,0.8333,khong
Dinafex,Montex,0.5810,0.4286,0.7333,khong
Candinil,Fenadin,0.5792,0.3750,0.7833,khong
Ketoral,Rivotril,0.5792,0.3750,0.7833,khong
Nidazyl,Tridosil,0.5792,0.3750,0.7833,khong
Napa,Napa Extend,0.5781,0.3636,0.7926,co
Backtone,Beklo,0.5764,0.3750,0.7778,khong
Ketoral,Metro,0.5754,0.4286,0.7222,khong
Fixal,Vifas,0.5750,0.4000,0.7500,khong
Fexofast,Flexilax,0.5732,0.3750,0.7714,khong
Esonix,Etizin,0.5692,0.3333,0.8050,khong
Metsina,Montene,0.5679,0.2857,0.8500,khong
Baclon,Bacmax,0.5667,0.5000,0.6333,co
Candinil,Rhinil,0.5667,0.5000,0.6333,khong
Esonix,Esoral,0.5667,0.5000,0.6333,co
Tridosil,Trilock,0.5667,0.5000,0.6333,khong
Axodin,Azithrocin,0.5650,0.4000,0.7300,khong
Fexofast,M-Kast,0.5625,0.3750,0.7500,khong
Fexofast,Vifas,0.5625,0.3750,0.7500,khong
Fexo,Nexum,0.5611,0.4000,0.7222,khong
Ketozol,Nidazyl,0.5595,0.2857,0.8333,khong
Alatrol,Metro,0.5587,0.4286,0.6889,khong
Diflu,Dinafex,0.5587,0.4286,0.6889,khong
Telfast,Vifas,0.5587,0.4286,0.6889,khong
Ace,Azyth,0.5556,0.2000,0.9111,khong
