name_a,name_b,score,ortho_sim,phon_sim,manual_review_ok
clindacin,clindamycin,0.8948,0.8182,0.9714,co
Nafro A plm,Nafro A plus,0.8944,0.8333,0.9556,khong
Toradolin,trodolin,0.8889,0.7778,1.0000,khong
Calboral D,Calborul-D,0.8857,0.8000,0.9714,khong
Carulcal D,Corulcal-D,0.8857,0.8000,0.9714,khong
coral cal,coral cal d,0.8841,0.8182,0.9500,bien_the_cung_nhan_hieu
Coralcal,Coralcalry,0.8833,0.8000,0.9667,bien_the_cung_nhan_hieu
Cetinol forte,Ratinol Forte,0.8814,0.8462,0.9167,co
TRD Coutine,TRD Couture,0.8805,0.8182,0.9429,khong
Dophylin,Dophyllinc,0.8800,0.8000,0.9600,khong
halconl Dx,hallornl Dx,0.8795,0.8182,0.9407,khong
Aristovil-B,Aristovit -B,0.8774,0.8333,0.9214,khong
Caficid,Cowficid,0.8750,0.7500,1.0000,khong
Geotrenol,Gestirenol,0.8750,0.8000,0.9500,co
Maxsulin,Maxsulin R,0.8750,0.8000,0.9500,bien_the_cung_nhan_hieu
Fluclox,Flucloxin,0.8746,0.7778,0.9714,bien_the_cung_nhan_hieu
cap. Fzsprazo,Cap.Fusprazo,0.8744,0.8462,0.9026,khong
Ceftadixime,ceftazidime,0.8730,0.8182,0.9278,co
Calboral,Calboral D,0.8714,0.8000,0.9429,bien_the_cung_nhan_hieu
Zymat Pro,Zymetpro,0.8694,0.7778,0.9611,khong
Meropen,Meropenem,0.8689,0.7778,0.9600,bien_the_cung_nhan_hieu
Kallonl Dx,Kalorl Dx,0.8667,0.8000,0.9333,khong
Kindial-D,kindical D,0.8667,0.8000,0.9333,khong
telcard,Telmicard,0.8667,0.7778,0.9556,co
cap. Esprazo,cap. Fzsprazo,0.8659,0.8462,0.8856,khong
cap. Esprazo,Cap.Fusprazo,0.8643,0.8333,0.8952,khong
Rafino Forte,Ratinol Forte,0.8641,0.8462,0.8821,co
Neurobest,Neurocet,0.8622,0.7778,0.9467,co
halconl Dx,Kallonl Dx,0.8606,0.8000,0.9213,khong
Indever,Indever f,0.8603,0.7778,0.9429,bien_the_cung_nhan_hieu
Cor algen-D,Coragen-D,0.8591,0.8182,0.9000,khong
Naprosin Plus,Naprox plus,0.8587,0.7692,0.9481,co
Exium Mups,Nexum Mups,0.8583,0.8000,0.9167,co
Valex CR,Valic CR,0.8583,0.7500,0.9667,co
Bildent,Biltant,0.8571,0.7143,1.0000,co
Bisoren,Bizoran,0.8571,0.7143,1.0000,co
clarin,Glarine,0.8571,0.7143,1.0000,co
Hastaol,Histal,0.8571,0.7143,1.0000,co
Hastaol,Histol,0.8571,0.7143,1.0000,co
lufilox,Lwfilex,0.8571,0.7143,1.0000,khong
Priten,protein,0.8571,0.7143,1.0000,khong
Profen,Purifen,0.8571,0.7143,1.0000,co
ratnol,Retinol,0.8571,0.7143,1.0000,co
Regler,Regular,0.8571,0.7143,1.0000,khong
Revatol,Revital,0.8571,0.7143,1.0000,co
Secrin,Sekorin,0.8571,0.7143,1.0000,co
Timptin,Tmiptin,0.8571,0.7143,1.0000,khong
pel. Desolan,Peli. Derolon,0.8560,0.7692,0.9429,co
Napronex,Naproxen,0.8556,0.7500,0.9611,co
