dataset,model,error_category,count,rate,n_total
kaggle_bd,tesseract,hallucination_far_off,624,0.8,780
kaggle_bd,tesseract,minor_ocr_noise,93,0.11923076923076924,780
kaggle_bd,tesseract,correct,58,0.07435897435897436,780
kaggle_bd,tesseract,other_wrong_real_word,5,0.00641025641025641,780
kaggle_bd,trocr_zeroshot,hallucination_far_off,474,0.6076923076923076,780
kaggle_bd,trocr_zeroshot,correct,179,0.22948717948717948,780
kaggle_bd,trocr_zeroshot,minor_ocr_noise,121,0.15512820512820513,780
kaggle_bd,trocr_zeroshot,other_wrong_real_word,3,0.0038461538461538464,780
kaggle_bd,trocr_zeroshot,confusable_wrong_drug,3,0.0038461538461538464,780
rxhandbd,tesseract,hallucination_far_off,893,0.8008968609865471,1115
rxhandbd,tesseract,minor_ocr_noise,162,0.1452914798206278,1115
rxhandbd,tesseract,correct,48,0.04304932735426009,1115
rxhandbd,tesseract,confusable_wrong_drug,10,0.008968609865470852,1115
rxhandbd,tesseract,other_wrong_real_word,2,0.0017937219730941704,1115
rxhandbd,trocr_zeroshot,hallucination_far_off,679,0.6089686098654709,1115
rxhandbd,trocr_zeroshot,correct,218,0.19551569506726457,1115
rxhandbd,trocr_zeroshot,minor_ocr_noise,186,0.16681614349775784,1115
rxhandbd,trocr_zeroshot,confusable_wrong_drug,20,0.017937219730941704,1115
rxhandbd,trocr_zeroshot,other_wrong_real_word,12,0.010762331838565023,1115
