dataset,stage,error_category,count,rate,n_total
kaggle_bd,zeroshot,hallucination_far_off,474,0.6076923076923076,780
kaggle_bd,zeroshot,correct,179,0.22948717948717948,780
kaggle_bd,zeroshot,minor_ocr_noise,121,0.15512820512820513,780
kaggle_bd,zeroshot,other_wrong_real_word,3,0.0038461538461538464,780
kaggle_bd,zeroshot,confusable_wrong_drug,3,0.0038461538461538464,780
kaggle_bd,lora_ceonly,correct,686,0.8794871794871795,780
kaggle_bd,lora_ceonly,hallucination_far_off,45,0.057692307692307696,780
kaggle_bd,lora_ceonly,minor_ocr_noise,33,0.04230769230769231,780
kaggle_bd,lora_ceonly,other_wrong_real_word,11,0.014102564102564103,780
kaggle_bd,lora_ceonly,confusable_wrong_drug,5,0.00641025641025641,780
rxhandbd,zeroshot,hallucination_far_off,679,0.6089686098654709,1115
rxhandbd,zeroshot,correct,218,0.19551569506726457,1115
rxhandbd,zeroshot,minor_ocr_noise,186,0.16681614349775784,1115
rxhandbd,zeroshot,confusable_wrong_drug,20,0.017937219730941704,1115
rxhandbd,zeroshot,other_wrong_real_word,12,0.010762331838565023,1115
rxhandbd,lora_ceonly,correct,520,0.4663677130044843,1115
rxhandbd,lora_ceonly,hallucination_far_off,247,0.22152466367713006,1115
rxhandbd,lora_ceonly,minor_ocr_noise,210,0.18834080717488788,1115
rxhandbd,lora_ceonly,confusable_wrong_drug,81,0.0726457399103139,1115
rxhandbd,lora_ceonly,other_wrong_real_word,57,0.051121076233183856,1115
