dataset,config,error_category,count,rate,n_total
rxhandbd,ce_only,correct,519,0.4654708520179372,1115
rxhandbd,ce_only,hallucination_far_off,241,0.21614349775784752,1115
rxhandbd,ce_only,minor_ocr_noise,223,0.2,1115
rxhandbd,ce_only,confusable_wrong_drug,83,0.07443946188340807,1115
rxhandbd,ce_only,other_wrong_real_word,49,0.04394618834080718,1115
rxhandbd,severity,correct,522,0.46816143497757845,1115
rxhandbd,severity,hallucination_far_off,234,0.20986547085201793,1115
rxhandbd,severity,minor_ocr_noise,220,0.19730941704035873,1115
rxhandbd,severity,confusable_wrong_drug,88,0.07892376681614349,1115
rxhandbd,severity,other_wrong_real_word,51,0.045739910313901344,1115
rxhandbd,margin,correct,510,0.45739910313901344,1115
rxhandbd,margin,hallucination_far_off,257,0.2304932735426009,1115
rxhandbd,margin,minor_ocr_noise,229,0.20538116591928252,1115
rxhandbd,margin,confusable_wrong_drug,74,0.06636771300448431,1115
rxhandbd,margin,other_wrong_real_word,45,0.04035874439461883,1115
rxhandbd,severity_margin,correct,513,0.4600896860986547,1115
rxhandbd,severity_margin,hallucination_far_off,245,0.21973094170403587,1115
rxhandbd,severity_margin,minor_ocr_noise,224,0.20089686098654708,1115
rxhandbd,severity_margin,confusable_wrong_drug,83,0.07443946188340807,1115
rxhandbd,severity_margin,other_wrong_real_word,50,0.04484304932735426,1115
kaggle_bd,ce_only,correct,684,0.8769230769230769,780
kaggle_bd,ce_only,hallucination_far_off,44,0.05641025641025641,780
kaggle_bd,ce_only,minor_ocr_noise,35,0.04487179487179487,780
kaggle_bd,ce_only,other_wrong_real_word,14,0.017948717948717947,780
kaggle_bd,ce_only,confusable_wrong_drug,3,0.0038461538461538464,780
kaggle_bd,severity,correct,682,0.8743589743589744,780
kaggle_bd,severity,hallucination_far_off,42,0.05384615384615385,780
kaggle_bd,severity,minor_ocr_noise,41,0.052564102564102565,780
kaggle_bd,severity,other_wrong_real_word,12,0.015384615384615385,780
kaggle_bd,severity,confusable_wrong_drug,3,0.0038461538461538464,780
kaggle_bd,margin,correct,688,0.882051282051282,780
kaggle_bd,margin,hallucination_far_off,42,0.05384615384615385,780
kaggle_bd,margin,minor_ocr_noise,33,0.04230769230769231,780
kaggle_bd,margin,other_wrong_real_word,13,0.016666666666666666,780
kaggle_bd,margin,confusable_wrong_drug,4,0.005128205128205128,780
kaggle_bd,severity_margin,correct,676,0.8666666666666667,780
kaggle_bd,severity_margin,hallucination_far_off,46,0.05897435897435897,780
kaggle_bd,severity_margin,minor_ocr_noise,42,0.05384615384615385,780
kaggle_bd,severity_margin,other_wrong_real_word,13,0.016666666666666666,780
kaggle_bd,severity_margin,confusable_wrong_drug,3,0.0038461538461538464,780
