dataset,config,error_category,count,rate,n_total
rxhandbd,margin_lam2,correct,491,0.44035874439461886,1115
rxhandbd,margin_lam2,hallucination_far_off,271,0.2430493273542601,1115
rxhandbd,margin_lam2,minor_ocr_noise,238,0.21345291479820627,1115
rxhandbd,margin_lam2,confusable_wrong_drug,67,0.060089686098654706,1115
rxhandbd,margin_lam2,other_wrong_real_word,48,0.04304932735426009,1115
rxhandbd,margin_lam3,correct,495,0.4439461883408072,1115
rxhandbd,margin_lam3,hallucination_far_off,273,0.24484304932735426,1115
rxhandbd,margin_lam3,minor_ocr_noise,243,0.2179372197309417,1115
rxhandbd,margin_lam3,confusable_wrong_drug,59,0.05291479820627803,1115
rxhandbd,margin_lam3,other_wrong_real_word,45,0.04035874439461883,1115
rxhandbd,margin_lam2_ep5,correct,527,0.4726457399103139,1115
rxhandbd,margin_lam2_ep5,hallucination_far_off,245,0.21973094170403587,1115
rxhandbd,margin_lam2_ep5,minor_ocr_noise,219,0.19641255605381167,1115
rxhandbd,margin_lam2_ep5,confusable_wrong_drug,73,0.06547085201793722,1115
rxhandbd,margin_lam2_ep5,other_wrong_real_word,51,0.045739910313901344,1115
rxhandbd,margin_lam2_sevlow,correct,523,0.46905829596412557,1115
rxhandbd,margin_lam2_sevlow,hallucination_far_off,250,0.2242152466367713,1115
rxhandbd,margin_lam2_sevlow,minor_ocr_noise,227,0.20358744394618833,1115
rxhandbd,margin_lam2_sevlow,confusable_wrong_drug,67,0.060089686098654706,1115
rxhandbd,margin_lam2_sevlow,other_wrong_real_word,48,0.04304932735426009,1115
